,Code_postal,Salaire_net_horaire_moyen_en_2014_euro
780,28630.0,15.2
781,28700.0,13.4
782,28800.0,12.5
783,29000.0,12.9
784,29100.0,11.9
785,29120.0,11.7
786,29140.0,11.6
787,29150.0,11.5
788,29160.0,11.6
789,29170.0,13.0
790,29180.0,12.4
791,29190.0,11.6
792,29200.0,12.5
793,29217.0,15.0
794,29233.0,11.5
795,29250.0,11.8
796,29260.0,11.9
797,29270.0,11.5
798,29280.0,13.6
799,29290.0,12.9
800,29300.0,12.4
801,29340.0,12.4
802,29350.0,13.0
803,29360.0,14.0
804,29370.0,11.9
805,29380.0,11.7
806,29390.0,11.0
807,29400.0,11.9
808,29410.0,11.3
809,29420.0,11.1
810,29430.0,11.4
811,29450.0,12.3
812,29460.0,13.8
813,29470.0,14.1
814,29480.0,15.3
815,29490.0,13.6
816,29500.0,13.4
817,29510.0,11.3
818,29520.0,11.5
819,29530.0,11.3
820,29550.0,11.7
821,29560.0,11.6
822,29570.0,11.7
823,29590.0,11.7
824,29600.0,12.1
825,29610.0,12.4
826,29620.0,11.3
827,29630.0,12.6
828,29640.0,11.8
829,29660.0,16.8
830,29670.0,12.1
831,29680.0,13.4
832,29700.0,12.5
833,29710.0,11.4
834,29720.0,12.1
835,29730.0,11.0
836,29740.0,12.3
837,29750.0,13.8
838,29760.0,11.7
839,29770.0,11.8
840,29780.0,11.8
841,29800.0,12.8
842,29810.0,13.0
843,29820.0,13.2
844,29830.0,11.9
845,29850.0,13.9
846,29860.0,12.5
847,29870.0,12.3
848,29880.0,12.1
849,29890.0,12.1
850,29900.0,12.8
851,29910.0,13.0
852,29920.0,13.2
853,29930.0,12.2
854,29940.0,14.7
855,29950.0,14.0
856,30000.0,12.6
857,30100.0,11.3
858,30110.0,10.4
859,30120.0,10.5
860,30126.0,15.0
861,30127.0,12.5
862,30128.0,12.6
863,30129.0,12.5
864,30130.0,13.9
865,30131.0,17.2
866,30132.0,14.0
867,30133.0,15.5
868,30140.0,11.5
869,30150.0,13.1
870,30160.0,10.8
871,30170.0,11.1
872,30190.0,12.0
873,30200.0,13.7
874,30210.0,11.4
875,30220.0,12.6
876,30230.0,12.7
877,30240.0,11.9
878,30250.0,13.0
879,30260.0,12.2
880,30270.0,10.8
881,30290.0,14.7
882,30300.0,11.8
883,30310.0,14.1
884,30320.0,12.0
885,30340.0,12.0
886,30380.0,12.2
887,30390.0,14.6
888,30400.0,18.4
889,30420.0,14.2
890,30470.0,13.7
891,30490.0,12.8
892,30500.0,11.4
893,30510.0,12.8
894,30520.0,11.4
895,30540.0,12.1
896,30560.0,12.2
897,30600.0,12.2
898,30620.0,12.3
899,30640.0,13.0
900,30650.0,15.0
901,30660.0,13.6
902,30670.0,14.4
903,30700.0,12.4
904,30740.0,12.9
905,30800.0,11.6
906,30820.0,14.2
907,30840.0,13.1
908,30870.0,14.3
909,30920.0,13.9
910,30980.0,15.9
911,31000.0,14.8
912,31110.0,10.2
913,31120.0,14.1
914,31130.0,17.6
915,31140.0,13.2
916,31150.0,13.4
917,31170.0,19.6
918,31180.0,16.7
919,31190.0,13.0
920,31210.0,11.5
921,31220.0,12.9
922,31240.0,15.9
923,31250.0,12.8
924,31270.0,14.9
925,31280.0,17.3
926,31290.0,14.0
927,31310.0,13.0
928,31320.0,15.5
929,31330.0,14.4
930,31340.0,12.5
931,31370.0,12.9
932,31380.0,17.0
933,31390.0,13.1
934,31410.0,13.3
935,31450.0,14.2
936,31460.0,13.6
937,31470.0,14.3
938,31490.0,17.0
939,31520.0,15.2
940,31550.0,13.1
941,31560.0,13.3
942,31590.0,15.1
943,31600.0,13.6
944,31620.0,14.1
945,31650.0,16.3
946,31660.0,13.0
947,31670.0,16.0
948,31700.0,15.6
949,31750.0,17.6
950,31770.0,15.7
951,31780.0,14.1
952,31790.0,13.6
953,31800.0,12.0
954,31810.0,14.0
955,31820.0,21.9
956,31830.0,16.9
957,31840.0,16.6
958,31850.0,16.7
959,31860.0,14.7
960,31870.0,14.4
961,31880.0,16.1
962,32000.0,12.1
963,32100.0,11.2
964,32120.0,13.4
965,32130.0,13.4
966,32190.0,11.5
967,32200.0,12.6
968,32220.0,12.4
969,32300.0,11.3
970,32500.0,11.1
971,32550.0,12.8
972,32600.0,14.9
973,32700.0,11.7
974,32800.0,11.7
975,33000.0,14.8
976,33110.0,16.6
977,33112.0,12.2
978,33114.0,14.0
979,33120.0,14.3
980,33121.0,12.8
981,33127.0,16.2
982,33130.0,13.1
983,33133.0,12.8
984,33138.0,14.4
985,33140.0,12.8
986,33150.0,11.5
987,33160.0,15.7
988,33170.0,15.1
989,33185.0,15.8
990,33190.0,10.8
991,33210.0,11.9
992,33220.0,11.6
993,33230.0,11.3
994,33240.0,13.0
995,33250.0,11.9
996,33260.0,13.0
997,33270.0,12.4
998,33290.0,14.1
999,33310.0,11.3
1000,33320.0,13.7
1001,33340.0,11.1
1002,33350.0,11.0
1003,33360.0,15.4
1004,33370.0,13.7
1005,33380.0,12.9
1006,33390.0,15.2
1007,33400.0,13.9
1008,33410.0,11.7
1009,33430.0,12.5
1010,33440.0,12.5
1011,33450.0,13.7
1012,33460.0,12.0
1013,33470.0,13.2
1014,33480.0,12.8
1015,33490.0,12.6
1016,33500.0,12.7
1017,33510.0,15.5
1018,33520.0,14.6
1019,33530.0,12.2
1020,33550.0,12.9
1021,33560.0,13.4
1022,33600.0,14.9
1023,33610.0,14.8
1024,33620.0,11.9
1025,33640.0,13.6
1026,33650.0,13.1
1027,33660.0,10.9
1028,33670.0,12.3
1029,33680.0,13.0
1030,33700.0,14.4
1031,33710.0,12.5
1032,33720.0,12.4
1033,33740.0,13.9
1034,33750.0,12.1
1035,33770.0,13.5
1036,33780.0,11.2
1037,33810.0,12.0
1038,33820.0,13.6
1039,33830.0,13.1
1040,33850.0,16.0
1041,33870.0,13.6
1042,33880.0,13.7
1043,33910.0,11.8
1044,33920.0,11.9
1045,33930.0,12.1
1046,33950.0,15.0
1047,33980.0,13.2
1048,33990.0,12.2
1049,34000.0,13.0
1050,34001.0,13.0
1051,34002.0,13.0
1052,34003.0,13.0
1053,34004.0,13.0
1054,34005.0,13.0
1055,34006.0,13.0
1056,34007.0,13.0
1057,34008.0,13.0
1058,34009.0,13.0
1059,34010.0,13.0
1060,34011.0,13.0
1061,34012.0,13.0
1062,34013.0,13.0
1063,34014.0,13.0
1064,34015.0,13.0
1065,34016.0,13.0
1066,34017.0,13.0
1067,34018.0,13.0
1068,34019.0,13.0
1069,34020.0,13.0
1070,34021.0,13.0
1071,34022.0,13.0
1072,34023.0,13.0
1073,34024.0,13.0
1074,34025.0,13.0
1075,34026.0,13.0
1076,34027.0,13.0
1077,34028.0,13.0
1078,34029.0,13.0
1079,34030.0,13.0
1080,34031.0,13.0
