,campagne,code_postal,code_postal_naissance,csp,debit_cb,flag_banque_principale,flag_epargne,nature_cb,patrimoine,regime_matrimonial,revenus_annuels,encours,cible,AGE,Parrain,domain,Sex,country_connexion,pays_de_naissance
13704,868.0,65000.0,39000.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,375.0,0,29.0,1,8.0,-1,1.0,1.0
13707,456.0,92400.0,76000.0,2.0,0.0,1.0,1.0,1.0,0.0,6.0,2.0,2087.78,1,29.0,1,3.0,1,1.0,1.0
13709,456.0,92120.0,75020.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,6004.86,1,31.0,0,1.0,0,1.0,1.0
13710,868.0,1800.0,60200.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,300.0,0,59.0,1,16.0,1,1.0,1.0
13711,868.0,95330.0,95330.0,4.0,0.0,1.0,0.0,1.0,1.0,5.0,2.0,272.56,0,35.0,1,1.0,0,1.0,1.0
13712,300.0,84470.0,25000.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,380.0,0,45.0,0,6.0,0,1.0,1.0
13717,868.0,92400.0,99.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,691.0,0,26.0,1,3.0,0,1.0,4.0
13718,868.0,92160.0,99.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,10.0,0,31.0,0,3.0,0,1.0,7.0
13719,868.0,31530.0,51200.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,530.0,0,42.0,1,5.0,-1,1.0,1.0
13721,300.0,33600.0,33500.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,20380.0,1,69.0,1,1.0,1,1.0,1.0
13725,868.0,13190.0,57100.0,16.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,428.99,0,38.0,1,0.0,0,1.0,1.0
